"","house","offender","lat","Photo.Date","off_market_date"
"36557",14589,97,0.607370682381251,2022-11-21,2019-12-02
"36558",14590,93,0.503805911873311,2022-10-03,2020-04-27
"36559",14591,35,0.855855873928025,2022-07-21,2015-09-18
"36560",14591,83,0.894578513945451,2019-07-29,2015-09-18
"36561",14591,87,0.962536798579799,2021-07-07,2015-09-18
"36562",14591,88,0.41171470043655,2019-11-21,2015-09-18
"36563",14591,89,0.842645868047029,2022-08-05,2015-09-18
"36564",14591,91,0.753049301072096,2021-03-18,2015-09-18
"36565",14593,3,0.897621907855359,2020-07-28,2014-06-24
"36566",14593,77,0.546620654575281,2022-07-13,2014-06-24
"36567",14593,85,0.73423923636489,2021-09-03,2014-06-24
"36568",14594,3,0.598577182014841,2020-07-28,2016-05-27
"36569",14594,77,0.861959039015744,2022-07-13,2016-05-27
"36570",14594,85,0.763313079712696,2021-09-03,2016-05-27
"36571",14597,2,0.4870508192748,2021-04-21,2014-05-16
"36572",14597,5,0.899812234568306,2022-07-20,2014-05-16
"36573",14597,16,0.729545174130131,2022-07-13,2014-05-16
"36574",14597,18,0.702828914598728,2022-08-02,2014-05-16
"36575",14597,49,0.54240678655284,2017-10-26,2014-05-16
"36576",14597,60,0.612032566685256,2022-08-17,2014-05-16
"36577",14597,65,0.771090070612987,2018-01-27,2014-05-16
"36578",14598,93,0.58499606201045,2022-10-03,2019-01-30
"36579",14599,38,0.451059642452907,2022-08-02,2017-10-12
"36580",14599,84,0.206767473718462,2021-07-07,2017-10-12
"36581",14599,86,0.207802216904405,2021-07-07,2017-10-12
"36582",14599,87,0.955754967371082,2021-07-07,2017-10-12
"36583",14599,88,0.897092270234319,2019-11-21,2017-10-12
"36584",14599,94,0.73531812471223,2022-07-26,2017-10-12
"36585",14599,95,0.38753784807763,2022-07-26,2017-10-12
"36586",14599,97,0.73531812471223,2022-11-21,2017-10-12
"36587",14601,87,0.951401620995908,2021-07-07,2020-12-03
"36588",14603,98,0.230283526960388,2022-06-28,2016-04-15
"36589",14604,93,0.264906628867978,2022-10-03,2017-11-06
"36590",14605,7,0.654155888828979,2022-09-21,2017-03-03
"36591",14605,14,0.485463724445554,2022-09-02,2017-03-03
"36592",14605,40,0.765061729755697,2022-09-23,2017-03-03
"36593",14605,48,0.895822842524064,2022-07-13,2017-03-03
"36594",14605,52,0.416351473807365,2020-11-06,2017-03-03
"36595",14605,56,0.780295318334353,2017-10-25,2017-03-03
"36596",14605,58,0.657966924144523,2020-05-13,2017-03-03
"36597",14605,63,0.717174333634709,2021-04-21,2017-03-03
"36598",14605,66,0.797316531460722,2022-07-19,2017-03-03
"36599",14605,74,0.681758048067977,2022-07-26,2017-03-03
"36600",14606,7,0.652564865990375,2022-09-21,2018-04-06
"36601",14606,14,0.488274749316088,2022-09-02,2018-04-06
"36602",14606,40,0.757969925316853,2022-09-23,2018-04-06
"36603",14606,48,0.890310628006595,2022-07-13,2018-04-06
"36604",14606,52,0.421534933566919,2020-11-06,2018-04-06
"36605",14606,56,0.779136931697014,2017-10-25,2018-04-06
"36606",14606,58,0.650589157339416,2020-05-13,2018-04-06
"36607",14606,63,0.709883923961987,2021-04-21,2018-04-06
"36608",14606,66,0.789937592224778,2022-07-19,2018-04-06
"36609",14606,74,0.674858988369903,2022-07-26,2018-04-06
"36610",14607,93,0.996219772689314,2022-10-03,2020-10-08
"36611",14608,1,0.749647359307672,2022-09-19,2018-07-16
"36612",14608,24,0.318221711806345,2021-07-07,2018-07-16
"36613",14608,26,0.415806914647345,2022-01-04,2018-07-16
"36614",14608,46,0.423965272417239,2022-07-20,2018-07-16
"36615",14608,50,0.32669956685037,2022-07-25,2018-07-16
"36616",14608,67,0.366890452544358,2022-08-19,2018-07-16
"36617",14609,15,0.331334458662159,2022-07-13,2013-07-18
"36618",14609,33,0.323151330513844,2022-07-21,2013-07-18
"36619",14609,52,0.994264203830196,2020-11-06,2013-07-18
"36620",14609,83,0.970249297653881,2019-07-29,2013-07-18
"36621",14609,90,0.547902648955467,2022-03-09,2013-07-18
"36622",14610,41,0.0888380037943105,2022-07-20,2016-09-12
"36623",14611,11,0.83344001068213,2019-03-25,2019-05-23
"36624",14612,38,0.929165770483919,2022-08-02,2016-12-01
"36625",14612,84,0.895423799677542,2021-07-07,2016-12-01
"36626",14612,86,0.878983866535972,2021-07-07,2016-12-01
"36627",14612,87,0.431438695332327,2021-07-07,2016-12-01
"36628",14612,88,0.258098538141832,2019-11-21,2016-12-01
"36629",14612,95,0.99326198163592,2022-07-26,2016-12-01
"36630",14614,14,0.778480038619573,2022-09-02,2015-06-05
"36631",14614,52,0.732434276080125,2020-11-06,2015-06-05
"36632",14614,77,0.107343776437151,2022-07-13,2015-06-05
"36633",14614,85,0.997640637810071,2021-09-03,2015-06-05
"36634",14617,37,0.914635556457046,2022-07-14,2017-03-08
"36635",14617,89,0.866526590914113,2022-08-05,2017-03-08
"36636",14617,91,0.606066447595618,2021-03-18,2017-03-08
"36637",14618,35,0.806678367069805,2022-07-21,2013-11-08
"36638",14618,83,0.847342256088245,2019-07-29,2013-11-08
"36639",14618,87,0.999546257566262,2021-07-07,2013-11-08
"36640",14618,88,0.505209974149424,2019-11-21,2013-11-08
"36641",14618,89,0.730591683422308,2022-08-05,2013-11-08
"36642",14618,91,0.611135257535378,2021-03-18,2013-11-08
"36643",14619,15,0.174930386778297,2022-07-13,2020-08-20
"36644",14619,33,0.0851555187379558,2022-07-21,2020-08-20
"36645",14619,35,0.766553259565895,2022-07-21,2020-08-20
"36646",14619,83,0.726502498050584,2019-07-29,2020-08-20
"36647",14619,90,0.323511600058462,2022-03-09,2020-08-20
"36648",14621,35,0.730144321450173,2022-07-21,2018-08-23
"36649",14621,83,0.720809913564356,2019-07-29,2018-08-23
"36650",14622,15,0.336643845865196,2022-07-13,2018-07-12
"36651",14622,33,0.361394455574602,2022-07-21,2018-07-12
"36652",14622,52,0.92064795730676,2020-11-06,2018-07-12
"36653",14622,90,0.549521645916403,2022-03-09,2018-07-12
"36654",14623,100,0.84446423884027,2022-08-09,2014-09-26
"36655",14625,93,0.787781814243288,2022-10-03,2015-12-18
"36656",14626,36,0.769059468253094,2021-09-10,2017-04-25
"36657",14627,82,0.518374432030208,2017-10-26,2014-04-17
"36658",14627,85,0.974332444809278,2021-09-03,2014-04-17
"36659",14628,92,0.894144771789356,2022-05-04,2018-11-07
"36660",14631,33,0.965216728124613,2022-07-21,2021-03-11
"36661",14631,35,0.41583027378393,2022-07-21,2021-03-11
"36662",14631,83,0.409129275629742,2019-07-29,2021-03-11
"36663",14631,89,0.820934481701372,2022-08-05,2021-03-11
"36664",14632,100,0.920722404693214,2022-08-09,2017-06-28
"36665",14633,14,0.778480038619573,2022-09-02,2021-03-17
"36666",14633,52,0.732434276080125,2020-11-06,2021-03-17
"36667",14633,77,0.107343776437151,2022-07-13,2021-03-17
"36668",14633,85,0.997640637810071,2021-09-03,2021-03-17
"36669",14634,15,0.213301710549138,2022-07-13,2015-12-29
"36670",14634,33,0.269133703097351,2022-07-21,2015-12-29
"36671",14634,35,0.935219355925112,2022-07-21,2015-12-29
"36672",14634,83,0.901986998276588,2019-07-29,2015-12-29
"36673",14634,90,0.0701313509066683,2022-03-09,2015-12-29
"36674",14636,38,0.657157956425693,2022-08-02,2012-09-28
"36675",14636,84,0.315161236785688,2021-07-07,2012-09-28
"36676",14636,86,0.350270621055978,2021-07-07,2012-09-28
"36677",14636,94,0.879950683274117,2022-07-26,2012-09-28
"36678",14636,95,0.51628614507901,2022-07-26,2012-09-28
"36679",14636,97,0.879950683274117,2022-11-21,2012-09-28
"36680",14638,77,0.877475005127637,2022-07-13,2013-07-31
"36681",14638,85,0.1256645650144,2021-09-03,2013-07-31
"36682",14641,15,0.174930386778297,2022-07-13,2019-05-08
"36683",14641,33,0.0851555187379558,2022-07-21,2019-05-08
"36684",14641,35,0.766553259565895,2022-07-21,2019-05-08
"36685",14641,83,0.726502498050584,2019-07-29,2019-05-08
"36686",14641,90,0.323511600058462,2022-03-09,2019-05-08
"36687",14642,35,0.768026414446409,2022-07-21,2012-12-14
"36688",14642,83,0.80937826000419,2019-07-29,2012-12-14
"36689",14642,88,0.58676832020164,2019-11-21,2012-12-14
"36690",14642,89,0.652559822799983,2022-08-05,2012-12-14
"36691",14642,91,0.51862668305301,2021-03-18,2012-12-14
"36692",14643,38,0.492760603557138,2022-08-02,2014-06-13
"36693",14643,76,0.995660912196213,2021-07-07,2014-06-13
"36694",14643,81,0.995660912196213,2019-03-22,2014-06-13
"36695",14643,84,0.193763289620424,2021-07-07,2014-06-13
"36696",14643,86,0.228214336019466,2021-07-07,2014-06-13
"36697",14643,94,0.665756789683445,2022-07-26,2014-06-13
